,repository_name,language
0,chrony,
1,couchbase,Ruby
2,delivery-truck,Ruby
3,disney.github.io,JavaScript
4,docker-training,JavaScript
5,dragonchain,Python
6,fiscal-calendar,CoffeeScript
7,groovity,Java
8,hubot-service-now,CoffeeScript
9,kitchenplan,Ruby
10,meteor-base,Shell
11,Mini-Enrichment-Ball,C++
12,mocking-jukebox,TypeScript
13,quanta,Go
14,terraform-aws-kinesis-firehose-splunk,HCL
15,terraform-aws-lambda-at-edge-cognito-authentication,HCL
16,terraform-azure-dnsforwarding,HCL
17,trace-metrics-intellij-plugin,Java
18,yard-chef,Ruby
